,Country,EdLevel,YearsCodePro,Age,Gender,Salary
183,United Kingdom of Great Britain and Northern Ireland,Master’s degree,7.0,25-34 years old,Man,118729.0
187,Germany,Less than a Bachelors,40.0,65 years or older,Man,159966.0
192,United States of America,Bachelor’s degree,3.0,18-24 years old,Man,110000.0
193,United States of America,Less than a Bachelors,1.0,18-24 years old,Man,70000.0
196,India,Bachelor’s degree,5.0,25-34 years old,Man,58037.0
202,Netherlands,Master’s degree,7.0,25-34 years old,Man,53322.0
203,France,Master’s degree,4.0,25-34 years old,Man,52789.0
204,United States of America,Master’s degree,4.0,25-34 years old,Man,100000.0
205,United States of America,Less than a Bachelors,10.0,25-34 years old,Man,120000.0
207,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,8.0,25-34 years old,Man,60307.0
210,United States of America,Bachelor’s degree,9.0,35-44 years old,Man,100000.0
211,Russian Federation,Bachelor’s degree,0.5,18-24 years old,Man,10392.0
212,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,0.5,18-24 years old,Man,27641.0
214,United States of America,Bachelor’s degree,5.0,18-24 years old,Man,75000.0
215,Belgium,Master’s degree,5.0,25-34 years old,Man,63984.0
218,France,Master’s degree,15.0,35-44 years old,Man,85315.0
221,Other,Master’s degree,11.0,35-44 years old,Man,160008.0
222,United States of America,Bachelor’s degree,14.0,35-44 years old,Man,147000.0
223,United States of America,Bachelor’s degree,2.0,18-24 years old,Man,172000.0
224,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,7.0,25-34 years old,Man,59050.0
225,United States of America,Bachelor’s degree,14.0,35-44 years old,Woman,101000.0
228,United States of America,Less than a Bachelors,9.0,35-44 years old,Man,120000.0
232,United States of America,Less than a Bachelors,19.0,35-44 years old,Woman,160000.0
233,United States of America,Bachelor’s degree,4.0,25-34 years old,Woman,175000.0
234,Brazil,Bachelor’s degree,3.0,25-34 years old,Man,42440.0
237,Canada,Bachelor’s degree,5.0,25-34 years old,Man,136647.0
238,Netherlands,Bachelor’s degree,37.0,55-64 years old,Man,62387.0
239,United States of America,Less than a Bachelors,46.0,65 years or older,Man,100000.0
241,France,Master’s degree,3.0,25-34 years old,Man,58654.0
242,Canada,Less than a Bachelors,0.5,25-34 years old,Woman,46850.0
243,Germany,Master’s degree,20.0,35-44 years old,Man,68252.0
244,Mexico,Bachelor’s degree,0.5,18-24 years old,Man,12500.0
245,Spain,Master’s degree,3.0,25-34 years old,Man,26128.0
246,United States of America,Bachelor’s degree,5.0,25-34 years old,Man,75000.0
253,Netherlands,Less than a Bachelors,12.0,35-44 years old,Man,49056.0
254,Canada,Less than a Bachelors,3.0,18-24 years old,Man,75507.0
258,Poland,Master’s degree,2.0,25-34 years old,Man,27756.0
259,Israel,Bachelor’s degree,11.0,25-34 years old,Man,197292.0
260,Sweden,Master’s degree,6.0,25-34 years old,Man,73140.0
261,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,3.0,18-24 years old,Man,27641.0
262,Canada,Bachelor’s degree,2.0,18-24 years old,Man,43727.0
264,Israel,Bachelor’s degree,15.0,35-44 years old,Man,190925.0
266,Czech Republic,Master’s degree,7.0,25-34 years old,Man,114324.0
267,Poland,Master’s degree,10.0,25-34 years old,Man,50875.0
271,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,7.0,25-34 years old,Man,96742.0
272,Switzerland,Master’s degree,20.0,35-44 years old,Man,155129.0
273,United States of America,Bachelor’s degree,23.0,45-54 years old,Man,140000.0
274,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,25.0,35-44 years old,Man,125639.0
275,Israel,Less than a Bachelors,6.0,25-34 years old,Woman,96852.0
276,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,2.0,18-24 years old,Man,42089.0
277,Netherlands,Bachelor’s degree,12.0,25-34 years old,Man,93846.0
278,United States of America,Bachelor’s degree,2.0,25-34 years old,Man,67000.0
279,Brazil,Bachelor’s degree,15.0,35-44 years old,Man,86304.0
284,Italy,Less than a Bachelors,3.0,25-34 years old,Man,35192.0
285,Austria,Less than a Bachelors,13.0,25-34 years old,Man,66119.0
287,Germany,Master’s degree,3.0,25-34 years old,Man,71451.0
288,United States of America,Bachelor’s degree,3.0,25-34 years old,Man,150000.0
290,United States of America,Bachelor’s degree,3.0,18-24 years old,Man,83000.0
292,Sweden,Bachelor’s degree,10.0,25-34 years old,Man,71916.0
294,France,Master’s degree,5.0,25-34 years old,Man,34126.0
296,Canada,Master’s degree,7.0,25-34 years old,Man,70276.0
297,Canada,Master’s degree,14.0,35-44 years old,Man,140551.0
298,Poland,Master’s degree,4.0,25-34 years old,Man,41628.0
299,United States of America,Bachelor’s degree,8.0,25-34 years old,Man,104000.0
302,United States of America,Bachelor’s degree,1.0,18-24 years old,Man,155000.0
304,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,7.0,25-34 years old,Man,26384.0
311,Spain,Less than a Bachelors,15.0,35-44 years old,Man,49056.0
312,United States of America,Bachelor’s degree,3.0,35-44 years old,Man,45000.0
315,United States of America,Bachelor’s degree,2.0,25-34 years old,Man,130000.0
317,United States of America,Bachelor’s degree,12.0,35-44 years old,Man,155000.0
318,Other,Less than a Bachelors,5.0,25-34 years old,Man,38392.0
322,United Kingdom of Great Britain and Northern Ireland,Master’s degree,19.0,35-44 years old,Man,138203.0
323,Austria,Less than a Bachelors,24.0,45-54 years old,Man,74651.0
325,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,4.0,25-34 years old,Man,75384.0
330,Canada,Less than a Bachelors,10.0,25-34 years old,Man,74180.0
331,United States of America,Bachelor’s degree,4.0,18-24 years old,Man,130000.0
333,Israel,Master’s degree,12.0,25-34 years old,Man,194303.0
335,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,24.0,45-54 years old,Man,81666.0
337,United States of America,Bachelor’s degree,1.0,18-24 years old,Man,80000.0
340,Other,Bachelor’s degree,15.0,45-54 years old,Man,53322.0
341,France,Bachelor’s degree,20.0,45-54 years old,Man,44796.0
342,South Africa,Bachelor’s degree,21.0,35-44 years old,Man,56897.0
346,Germany,Less than a Bachelors,1.0,18-24 years old,Man,44790.0
347,United States of America,Master’s degree,0.5,25-34 years old,Man,100000.0
348,United States of America,Bachelor’s degree,7.0,25-34 years old,Man,75000.0
351,Austria,Bachelor’s degree,3.0,25-34 years old,Man,43512.0
352,Netherlands,Bachelor’s degree,4.0,45-54 years old,Woman,51192.0
354,Sweden,Master’s degree,10.0,35-44 years old,Man,68256.0
356,United States of America,Master’s degree,3.0,25-34 years old,Man,120000.0
357,United States of America,Bachelor’s degree,20.0,35-44 years old,Man,160000.0
358,Other,Bachelor’s degree,3.0,25-34 years old,Man,45899.0
359,United States of America,Post grad,32.0,45-54 years old,Man,175000.0
360,Other,Bachelor’s degree,5.0,25-34 years old,Man,75684.0
361,United States of America,Bachelor’s degree,11.0,25-34 years old,Man,150000.0
362,Sweden,Less than a Bachelors,7.0,25-34 years old,Man,60948.0
363,United States of America,Less than a Bachelors,14.0,35-44 years old,Man,120000.0
367,United States of America,Bachelor’s degree,4.0,25-34 years old,Man,109000.0
368,United States of America,Bachelor’s degree,4.0,18-24 years old,Man,70000.0
370,United States of America,Less than a Bachelors,13.0,25-34 years old,Man,150000.0
372,United States of America,Bachelor’s degree,5.0,25-34 years old,Man,100000.0
373,Brazil,Bachelor’s degree,19.0,25-34 years old,Man,74784.0
374,Other,Bachelor’s degree,2.0,25-34 years old,Man,13560.0
378,Italy,Less than a Bachelors,1.0,18-24 years old,Man,14460.0
381,United States of America,Bachelor’s degree,15.0,55-64 years old,Woman,96000.0
382,United States of America,Less than a Bachelors,2.0,18-24 years old,Man,52800.0
383,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,10.0,25-34 years old,Man,50256.0
385,United States of America,Bachelor’s degree,22.0,35-44 years old,Man,160000.0
386,Finland,Bachelor’s degree,6.0,25-34 years old,Man,42228.0
387,United States of America,Bachelor’s degree,9.0,25-34 years old,Man,124000.0
388,United Kingdom of Great Britain and Northern Ireland,Master’s degree,12.0,25-34 years old,Man,125639.0
390,France,Master’s degree,5.0,25-34 years old,Man,44790.0
392,Other,Less than a Bachelors,14.0,35-44 years old,Man,53748.0
393,Netherlands,Bachelor’s degree,6.0,25-34 years old,Man,54384.0
394,United States of America,Less than a Bachelors,4.0,18-24 years old,Man,100000.0
395,Other,Master’s degree,0.5,18-24 years old,Man,69318.0
396,Germany,Less than a Bachelors,2.0,18-24 years old,Man,21504.0
397,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,9.0,35-44 years old,Man,55281.0
400,France,Master’s degree,5.0,25-34 years old,Man,52255.0
402,Israel,Bachelor’s degree,4.0,25-34 years old,Man,111204.0
403,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,7.0,25-34 years old,Man,56538.0
405,United States of America,Bachelor’s degree,8.0,25-34 years old,Man,115000.0
406,United States of America,Less than a Bachelors,8.0,18-24 years old,Man,200000.0
410,Denmark,Master’s degree,2.0,25-34 years old,Man,103248.0
411,Germany,Less than a Bachelors,3.0,18-24 years old,Man,40956.0
419,United States of America,Bachelor’s degree,12.0,35-44 years old,Man,86000.0
422,United States of America,Bachelor’s degree,5.0,25-34 years old,Man,165000.0
424,Belgium,Bachelor’s degree,23.0,35-44 years old,Man,92780.0
426,United States of America,Less than a Bachelors,0.5,18-24 years old,Man,160000.0
427,United States of America,Master’s degree,5.0,25-34 years old,Man,145000.0
429,United States of America,Less than a Bachelors,6.0,25-34 years old,Man,80000.0
431,Spain,Less than a Bachelors,6.0,35-44 years old,Man,31993.0
432,United States of America,Bachelor’s degree,3.0,25-34 years old,Woman,96300.0
433,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,31.0,45-54 years old,Man,62820.0
435,Germany,Bachelor’s degree,1.0,25-34 years old,Man,57588.0
436,United States of America,Less than a Bachelors,1.0,25-34 years old,Man,55000.0
439,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,12.0,25-34 years old,Man,126142.0
440,United States of America,Bachelor’s degree,4.0,25-34 years old,Man,158000.0
443,United States of America,Post grad,5.0,25-34 years old,Man,90000.0
445,Spain,Bachelor’s degree,10.0,35-44 years old,Man,25594.0
446,Spain,Less than a Bachelors,0.5,35-44 years old,Man,21329.0
447,United States of America,Bachelor’s degree,6.0,25-34 years old,Man,150000.0
449,Germany,Post grad,25.0,45-54 years old,Man,127972.0
454,United Kingdom of Great Britain and Northern Ireland,Master’s degree,4.0,25-34 years old,Man,87948.0
458,Sweden,Master’s degree,7.0,25-34 years old,Man,92436.0
460,United States of America,Less than a Bachelors,1.0,18-24 years old,Man,75000.0
463,Israel,Bachelor’s degree,9.0,25-34 years old,Man,150660.0
465,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,22.0,45-54 years old,Man,108050.0
466,France,Bachelor’s degree,5.0,25-34 years old,Man,36259.0
467,Canada,Bachelor’s degree,1.0,25-34 years old,Man,89016.0
468,United States of America,Less than a Bachelors,8.0,25-34 years old,Man,120000.0
469,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,3.0,18-24 years old,Man,100511.0
470,United States of America,Master’s degree,6.0,25-34 years old,Man,140000.0
473,Netherlands,Bachelor’s degree,2.0,18-24 years old,Man,42228.0
475,Australia,Bachelor’s degree,19.0,35-44 years old,Man,106157.0
478,United Kingdom of Great Britain and Northern Ireland,Post grad,39.0,55-64 years old,Man,75384.0
481,Greece,Bachelor’s degree,1.0,18-24 years old,Man,17063.0
483,United States of America,Master’s degree,20.0,35-44 years old,Man,200000.0
488,United States of America,Bachelor’s degree,17.0,35-44 years old,Man,160000.0
490,United States of America,Master’s degree,5.0,25-34 years old,Man,110000.0
491,Poland,Bachelor’s degree,5.0,18-24 years old,Man,27750.0
493,Netherlands,Bachelor’s degree,4.0,25-34 years old,Man,62712.0
494,Germany,Bachelor’s degree,6.0,25-34 years old,Man,63986.0
496,Australia,Bachelor’s degree,1.0,18-24 years old,Man,67940.0
497,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,15.0,35-44 years old,Man,125639.0
500,United States of America,Less than a Bachelors,4.0,25-34 years old,Man,53000.0
507,United States of America,Bachelor’s degree,3.0,25-34 years old,Man,72000.0
508,Canada,Bachelor’s degree,21.0,35-44 years old,Man,101509.0
509,Canada,Bachelor’s degree,3.0,25-34 years old,Man,62467.0
510,United States of America,Bachelor’s degree,3.0,25-34 years old,Man,50000.0
512,France,Master’s degree,9.0,25-34 years old,Man,106644.0
515,Canada,Bachelor’s degree,27.0,45-54 years old,Man,54659.0
520,Finland,Bachelor’s degree,2.0,25-34 years old,Man,38388.0
524,United Kingdom of Great Britain and Northern Ireland,Master’s degree,4.0,25-34 years old,Man,60307.0
525,India,Bachelor’s degree,13.0,35-44 years old,Man,30948.0
528,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,9.0,25-34 years old,Man,50256.0
534,Canada,Bachelor’s degree,4.0,25-34 years old,Man,58563.0
536,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,6.0,25-34 years old,Man,56538.0
538,Portugal,Master’s degree,11.0,35-44 years old,Man,50123.0
539,United States of America,Bachelor’s degree,1.0,25-34 years old,Man,200000.0
543,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,28.0,45-54 years old,Man,113075.0
544,Argentina,Less than a Bachelors,3.0,25-34 years old,Man,13128.0
546,Hungary,Bachelor’s degree,2.0,25-34 years old,Man,23436.0
547,United States of America,Bachelor’s degree,3.0,25-34 years old,Man,90000.0
553,United States of America,Bachelor’s degree,2.0,25-34 years old,Man,70000.0
554,United States of America,Bachelor’s degree,2.0,25-34 years old,Man,171000.0
557,France,Master’s degree,1.0,25-34 years old,Man,26661.0
559,United States of America,Master’s degree,14.0,35-44 years old,Man,86000.0
560,United States of America,Less than a Bachelors,9.0,25-34 years old,Man,105000.0
561,Germany,Less than a Bachelors,7.0,25-34 years old,Man,47990.0
562,United States of America,Bachelor’s degree,2.0,25-34 years old,Man,78000.0
563,France,Less than a Bachelors,5.0,25-34 years old,Man,72518.0
565,United States of America,Bachelor’s degree,22.0,35-44 years old,Man,187000.0
570,India,Bachelor’s degree,5.0,25-34 years old,Man,64486.0
571,United States of America,Bachelor’s degree,1.0,18-24 years old,Man,78337.0
572,Poland,Post grad,14.0,35-44 years old,Man,27756.0
574,Australia,Less than a Bachelors,10.0,25-34 years old,Man,81387.0
576,Hungary,Bachelor’s degree,8.0,25-34 years old,Man,23436.0
578,Canada,Bachelor’s degree,5.0,25-34 years old,Man,85112.0
579,Canada,Less than a Bachelors,2.0,18-24 years old,Man,50755.0
580,United States of America,Bachelor’s degree,7.0,55-64 years old,Man,150000.0
583,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,16.0,35-44 years old,Man,81666.0
584,Germany,Master’s degree,14.0,25-34 years old,Man,170630.0
585,United States of America,Bachelor’s degree,4.0,25-34 years old,Man,162373.0
586,France,Master’s degree,14.0,35-44 years old,Man,69318.0
587,Canada,Less than a Bachelors,2.0,18-24 years old,Man,64029.0
592,Netherlands,Less than a Bachelors,10.0,25-34 years old,Man,41592.0
594,Denmark,Master’s degree,6.0,25-34 years old,Man,86040.0
595,United States of America,Less than a Bachelors,15.0,35-44 years old,Man,125000.0
596,United States of America,Less than a Bachelors,31.0,55-64 years old,Man,200000.0
598,Other,Bachelor’s degree,5.0,25-34 years old,Man,18024.0
599,United States of America,Master’s degree,18.0,35-44 years old,Man,160000.0
602,United States of America,Less than a Bachelors,12.0,25-34 years old,Man,110000.0
605,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,7.0,18-24 years old,Man,71614.0
608,Finland,Master’s degree,15.0,35-44 years old,Man,69744.0
609,United States of America,Master’s degree,4.0,25-34 years old,Woman,82000.0
610,United States of America,Bachelor’s degree,8.0,18-24 years old,Man,125000.0
611,United States of America,Bachelor’s degree,25.0,45-54 years old,Man,150000.0
612,United States of America,Bachelor’s degree,7.0,25-34 years old,Man,180000.0
613,Switzerland,Master’s degree,1.0,18-24 years old,Man,93078.0
616,Czech Republic,Master’s degree,17.0,35-44 years old,Man,93540.0
617,United States of America,Master’s degree,20.0,55-64 years old,Man,140000.0
618,United States of America,Bachelor’s degree,21.0,35-44 years old,Man,95000.0
619,Finland,Master’s degree,6.0,25-34 years old,Man,76788.0
621,United States of America,Bachelor’s degree,7.0,25-34 years old,Man,125000.0
622,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,2.0,25-34 years old,Man,32666.0
624,South Africa,Bachelor’s degree,15.0,35-44 years old,Man,115000.0
629,Netherlands,Master’s degree,2.0,25-34 years old,Man,154633.0
630,Canada,Bachelor’s degree,5.0,25-34 years old,Man,121030.0
632,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,3.0,18-24 years old,Man,62820.0
633,Hungary,Master’s degree,16.0,35-44 years old,Man,66948.0
634,Poland,Master’s degree,12.0,35-44 years old,Man,77700.0
636,Germany,Bachelor’s degree,10.0,35-44 years old,Man,90647.0
637,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,16.0,35-44 years old,Man,59679.0
638,Netherlands,Master’s degree,21.0,35-44 years old,Man,159950.0
640,Germany,Post grad,10.0,35-44 years old,Woman,95979.0
642,United Kingdom of Great Britain and Northern Ireland,Master’s degree,6.0,25-34 years old,Man,72243.0
643,Canada,Bachelor’s degree,15.0,35-44 years old,Man,117126.0
647,Romania,Bachelor’s degree,9.0,25-34 years old,Man,36240.0
654,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,2.0,25-34 years old,Man,44853.0
655,United States of America,Less than a Bachelors,12.0,35-44 years old,Man,135000.0
657,Germany,Master’s degree,5.0,25-34 years old,Man,65268.0
658,United States of America,Bachelor’s degree,2.0,25-34 years old,Woman,110000.0
660,United States of America,Bachelor’s degree,7.0,25-34 years old,Man,75000.0
662,Brazil,Less than a Bachelors,1.0,25-34 years old,Man,112176.0
663,United States of America,Bachelor’s degree,23.0,35-44 years old,Man,120000.0
665,United States of America,Bachelor’s degree,6.0,25-34 years old,Man,120000.0
667,Ukraine,Master’s degree,17.0,35-44 years old,Man,55000.0
668,Other,Master’s degree,6.0,25-34 years old,Woman,23352.0
669,Spain,Post grad,22.0,45-54 years old,Man,53322.0
673,United States of America,Master’s degree,25.0,45-54 years old,Man,161000.0
674,United States of America,Master’s degree,11.0,35-44 years old,Woman,175000.0
675,United States of America,Less than a Bachelors,20.0,45-54 years old,Man,172000.0
678,Canada,Less than a Bachelors,11.0,25-34 years old,Man,105414.0
683,Germany,Less than a Bachelors,3.0,18-24 years old,Woman,63984.0
689,United States of America,Bachelor’s degree,8.0,25-34 years old,Man,62000.0
695,Other,Bachelor’s degree,1.0,18-24 years old,Man,17568.0
696,Poland,Bachelor’s degree,13.0,25-34 years old,Man,110000.0
698,Germany,Bachelor’s degree,11.0,35-44 years old,Man,69318.0
699,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,5.0,25-34 years old,Man,87948.0
702,United States of America,Bachelor’s degree,15.0,35-44 years old,Man,200000.0
704,Austria,Post grad,30.0,45-54 years old,Man,159966.0
707,United States of America,Bachelor’s degree,2.0,18-24 years old,Man,75000.0
708,United Kingdom of Great Britain and Northern Ireland,Master’s degree,2.0,18-24 years old,Man,41461.0
709,United States of America,Bachelor’s degree,5.0,25-34 years old,Man,125000.0
712,United States of America,Less than a Bachelors,4.0,18-24 years old,Man,85000.0
722,France,Master’s degree,7.0,25-34 years old,Man,49908.0
723,Germany,Bachelor’s degree,7.0,25-34 years old,Man,110568.0
724,United States of America,Less than a Bachelors,6.0,35-44 years old,Man,120000.0
727,Canada,Bachelor’s degree,5.0,25-34 years old,Man,149922.0
729,Other,Less than a Bachelors,25.0,35-44 years old,Man,114708.0
730,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,8.0,25-34 years old,Man,113075.0
737,United States of America,Less than a Bachelors,11.0,18-24 years old,Woman,180000.0
740,United States of America,Bachelor’s degree,5.0,18-24 years old,Man,105000.0
746,Romania,Master’s degree,5.0,25-34 years old,Man,165000.0
747,Germany,Bachelor’s degree,5.0,25-34 years old,Man,95979.0
749,Spain,Less than a Bachelors,22.0,35-44 years old,Man,44790.0
751,Canada,Bachelor’s degree,8.0,25-34 years old,Man,166319.0
753,Brazil,Less than a Bachelors,34.0,45-54 years old,Man,13212.0
757,United Kingdom of Great Britain and Northern Ireland,Master’s degree,6.0,25-34 years old,Man,62820.0
759,United States of America,Bachelor’s degree,4.0,25-34 years old,Man,120000.0
761,Russian Federation,Bachelor’s degree,3.0,25-34 years old,Man,103908.0
762,Mexico,Bachelor’s degree,8.0,25-34 years old,Man,18060.0
763,United States of America,Bachelor’s degree,9.0,25-34 years old,Man,120000.0
764,United States of America,Master’s degree,3.0,25-34 years old,Man,120000.0
767,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,4.0,18-24 years old,Man,75384.0
768,Norway,Less than a Bachelors,12.0,35-44 years old,Man,186670.0
769,Austria,Less than a Bachelors,13.0,25-34 years old,Man,79983.0
772,Hungary,Bachelor’s degree,10.0,25-34 years old,Man,43524.0
774,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,10.0,45-54 years old,Man,175895.0
775,United States of America,Less than a Bachelors,2.0,35-44 years old,Man,115000.0
776,Belgium,Bachelor’s degree,8.0,25-34 years old,Man,64500.0
